0	2	4
0	2	6
0	11	3
0	11	5
0	11	10
0	12	5
0	12	8
0	13	0
0	13	4
0	13	5
0	13	7
0	13	8
1	2	4
1	2	6
1	11	3
1	11	5
1	11	10
1	12	5
1	12	8
1	13	0
1	13	4
1	13	5
1	13	7
1	13	8
2	0	13
2	1	2
2	2	1
2	2	3
2	2	4
2	2	6
2	2	10
2	2	11
2	3	2
2	3	12
2	3	13
2	4	2
2	4	6
2	4	12
2	4	13
2	5	9
2	5	12
2	5	13
2	6	2
2	7	12
2	7	13
2	8	12
2	9	5
2	9	10
2	9	11
2	9	12
2	9	13
2	10	2
2	10	9
2	10	11
2	10	12
2	10	13
2	11	2
2	11	9
2	11	10
2	11	12
2	11	13
2	12	3
2	12	4
2	12	5
2	12	7
2	12	8
2	12	9
2	12	10
2	12	11
2	12	13
2	13	0
2	13	3
2	13	4
2	13	5
2	13	7
2	13	9
2	13	10
2	13	11
2	13	12
3	0	4
3	0	5
3	0	7
3	0	9
3	0	10
3	0	11
3	0	12
3	0	13
3	1	2
3	2	6
3	3	2
3	3	4
3	3	5
3	3	6
3	3	12
3	3	13
3	4	0
3	4	2
3	4	3
3	4	5
3	4	6
3	4	7
3	4	8
3	4	9
3	4	10
3	4	11
3	4	12
3	4	13
3	5	9
3	5	12
3	5	13
3	6	2
3	7	12
3	7	13
3	8	4
3	8	6
3	8	12
3	9	12
3	9	13
3	10	2
3	10	9
3	10	11
3	10	12
3	10	13
3	11	2
3	11	9
3	11	10
3	11	12
3	11	13
3	12	9
3	12	11
3	12	13
4	1	2
4	1	5
4	2	1
4	2	3
4	2	4
4	2	6
4	3	2
4	3	4
4	3	11
4	4	11
4	5	1
4	5	11
4	6	2
4	6	10
4	6	11
4	7	12
4	8	4
4	9	13
4	11	2
4	11	5
4	11	10
4	11	12
4	12	10
4	12	11
4	12	13
4	13	0
4	13	1
4	13	4
4	13	5
4	13	6
4	13	11
5	0	3
5	0	5
5	0	10
5	0	11
5	0	12
5	0	13
5	1	5
5	1	6
5	1	11
5	1	12
5	1	13
5	3	0
5	3	5
5	3	10
5	3	11
5	3	12
5	3	13
5	4	8
5	5	0
5	5	1
5	5	3
5	5	6
5	5	10
5	5	11
5	5	12
5	5	13
5	6	1
5	6	5
5	6	11
5	6	12
5	6	13
5	8	4
5	9	12
5	9	13
5	10	0
5	10	3
5	10	5
5	10	11
5	10	12
5	10	13
5	11	0
5	11	1
5	11	3
5	11	5
5	11	6
5	11	10
5	11	12
5	11	13
5	12	0
5	12	1
5	12	3
5	12	5
5	12	6
5	12	9
5	12	10
5	12	11
5	12	13
5	13	0
5	13	1
5	13	3
5	13	5
5	13	6
5	13	9
5	13	10
5	13	11
5	13	12
6	9	12
6	9	13
6	12	0
6	12	1
6	12	2
6	12	4
6	12	5
6	12	9
6	12	13
6	13	0
6	13	2
6	13	5
6	13	9
6	13	12
7	9	12
7	9	13
7	12	0
7	12	1
7	12	2
7	12	4
7	12	5
7	12	9
7	12	13
7	13	0
7	13	5
7	13	9
7	13	12
8	0	12
8	0	13
8	1	12
8	1	13
8	2	12
8	2	13
8	4	12
8	4	13
8	5	12
8	5	13
8	6	12
8	6	13
8	7	11
8	7	12
8	7	13
8	9	11
8	9	12
8	9	13
8	10	11
8	10	12
8	10	13
8	11	10
8	11	12
8	11	13
8	12	11
8	13	3
8	13	9
8	13	11
9	0	12
9	0	13
9	1	12
9	1	13
9	2	12
9	2	13
9	4	12
9	4	13
9	5	12
9	5	13
9	6	9
9	6	12
9	6	13
9	7	11
9	7	12
9	7	13
9	8	12
9	8	13
9	9	12
9	9	13
9	10	11
9	10	12
9	10	13
9	11	12
9	11	13
9	12	11
9	13	11
10	2	5
10	2	13
10	8	7
10	12	6
11	2	5
11	2	13
11	5	2
